cod_ISO-3166;ccaa_iso;Nombre_CCAA_covid;Nombre_CCAA_mov;cod_ine;Nombre_CCAA_vac
ES-AN;AN;Andalucía;Andalusia;1;Andalucía
ES-AR;AR;Aragón;Aragon;2;Aragón
ES-AS;AS;Principado de Asturias;Asturias;3;Asturias
ES-CN;CN;Canarias;Canary Islands;5;Canarias
ES-CB;CB;Cantabria;Cantabria;6;Cantabria
ES-CM;CM;Castilla-La Mancha;Castile-La Mancha;8;Castilla La Mancha
ES-CL;CL;Castilla-León;Castile and León;7;Castilla y Leon
ES-CT;CT;Cataluña;Catalonia;9;Cataluña
ES-EX;EX;Extremadura;Extremadura;11;Extremadura
ES-GA;GA;Galicia;Galicia;12;Galicia
ES-IB;IB;Islas Baleares;Balearic Islands;4;Baleares
ES-RI;RI;La Rioja;La Rioja;17;La Rioja
ES-MD;MD;Comunidad de Madrid;Community of Madrid;13;Madrid
ES-MC;MC;Región de Murcia;Region of Murcia;14;Murcia
ES-NC;NC;Comunidad Foral de Navarra;Navarre;15;Navarra
ES-PV;PV;País Vasco;Basque Country;16;País Vasco
ES-VC;VC;Comunidad Valenciana;Valencian Community;10;C Valenciana
ES-CE;CE;Ceuta;Ceuta;18;Ceuta
ES-ML;ML;Melilla;Melilla;19;Melilla
